Description,Location,Price,Bedrooms,Bathrooms,Floor Area,Land Area,Region,Urbanicity
"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Como Model","Km.71, North Luzon Expressway Panipuan, Mexico",2747500.0,3.0,2.0,78.54,154.0,Region III,Urban
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit","Km. 19 West Service Rd. Cupang, Muntinlupa",32184000.0,3.0,3.0,247.4,92.0,NCR,Urban
"4BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Dana w/ CB","Longos, Malolos",7798000.0,4.0,3.0,85.0,110.0,Region III,Urban
"Ready For You: 2BR 2-Storey SD House and Lot (Asha) for Sale in Compostela, Cebu at Amoa","Tamiao, Compostela",6130000.0,2.0,1.0,,,Region VII,Urban
"4-Bedroom House and Lot for Sale in Kawit, Cavite at Lancaster New City | BRIANA Model","San Sebastian, Kawit",6756360.0,4.0,3.0,110.0,100.0,Region IV-A,Urban
"3-Bedroom 2-Storey House and Lot for Sale in Mabalacat, Pampanga at Talanai Homes | AGOHO","Sapang Biabas, Mabalacat",2706500.0,3.0,2.0,62.0,65.0,Region III,Urban
"3-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | ANICA Model","Alapan II-A, Imus",2389000.0,3.0,1.0,50.0,50.0,Region IV-A,Urban
"Single Detached House for Sale near EVIA and MCX, Muntinlupa","Victoria South Alabang Tunasan, Muntinlupa",13500000.0,3.0,2.0,140.0,240.0,NCR,Urban
"4-Bedroom House and Lot for Sale in General Trias, Cavite at Lancaster New City | ALEXANDRA Model","Pasong Camachile I, General Trias",7410000.0,4.0,3.0,100.0,120.0,Region IV-A,Urban
[05422-T-259] House & Lot for sale in Northfields Executive Village at Malolos Bulacan,"Lot 14 Block 26 J Abad Santos Street Northfields Executive Village Phase 1 Barangay Longos Malolos Bulacan Longos, Malolos",5900000.0,3.0,6.0,232.89,200.0,Region III,Urban
"3BR Single Attached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga","Eden, Mexico",4113000.0,3.0,2.0,72.0,88.0,Region III,Urban
"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse","Km. 19 West Service Rd. Cupang, Muntinlupa",31706000.0,3.0,3.0,247.4,92.0,NCR,Urban
1BR Rowhouse for Sale at Marytown Place in Santa Maria Bulacan | Bare 2-Storey Inner Unit (ROSE),"Santa Maria-San Jose Rd. Bulac, Santa Maria",1675000.0,1.0,1.0,44.0,40.0,Region III,Urban
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",28804000.0,3.0,3.0,219.3,91.0,NCR,Urban
"3-Bedroom House and Lot for Sale in Imus, Cavite at Lancaster New City | GABRIELLE Model","Alapan II-A, Imus",6650000.0,3.0,2.0,84.0,120.0,Region IV-A,Urban
"Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael",1800000.0,2.0,1.0,46.0,41.0,Region III,Urban
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",28678000.0,3.0,3.0,219.3,91.0,NCR,Urban
