Price,Bedrooms,Bathrooms,Floor Area,Land Area,Region
4896200.0,3.0,2.0,81.0,117.0,Region III
9185000.0,5.0,3.0,142.0,153.0,Region III
5692000.0,4.0,2.0,80.0,100.0,Region IV-A
1650408.0,2.0,1.0,44.0,36.0,Region IV-A
7650000.0,5.0,3.0,100.0,121.0,Region III
9153000.0,5.0,3.0,100.0,141.0,Region III
6497000.0,3.0,2.0,66.0,99.0,Region III
4787000.0,2.0,1.0,46.0,64.0,Region III
10575000.0,5.0,3.0,166.0,143.0,Region III
4259000.0,2.0,1.0,46.0,54.0,Region III
5425000.0,2.0,2.0,53.0,88.0,Region III
3146000.0,2.0,1.0,36.0,63.0,Region III
2799000.0,2.0,1.0,36.0,36.0,Region III
7240000.0,3.0,2.0,53.0,133.0,Region III
4348000.0,2.0,1.0,40.0,63.0,Region III
4389000.0,2.0,2.0,53.0,50.0,Region VII
5578000.0,2.0,2.0,53.0,95.0,Region III
8727000.0,3.0,2.0,66.0,158.0,Region I
5301000.0,3.0,2.0,66.0,88.0,Region I
9375000.0,3.0,2.0,66.0,174.0,Region I
1979000.0,2.0,1.0,38.88,43.2,Region III
32539000.0,3.0,3.0,247.4,93.0,NCR
31348000.0,3.0,3.0,247.4,92.0,NCR
32514000.0,3.0,3.0,247.4,92.0,NCR
32539000.0,3.0,3.0,247.4,93.0,NCR
32331000.0,3.0,3.0,247.4,94.0,NCR
32184000.0,3.0,3.0,247.4,92.0,NCR
32539000.0,3.0,3.0,247.4,93.0,NCR
34016000.0,3.0,3.0,247.4,93.0,NCR
34016000.0,3.0,3.0,247.4,93.0,NCR
32331000.0,3.0,3.0,247.4,94.0,NCR
32539000.0,3.0,3.0,247.4,93.0,NCR
27088000.0,3.0,3.0,219.3,90.0,NCR
27088000.0,3.0,3.0,219.3,90.0,NCR
31706000.0,3.0,3.0,247.4,92.0,NCR
26365000.0,3.0,3.0,219.3,90.0,NCR
27676000.0,3.0,3.0,219.3,91.0,NCR
29098000.0,3.0,3.0,219.3,106.0,NCR
34016000.0,3.0,3.0,247.4,93.0,NCR
4866000.0,2.0,2.0,53.0,88.0,Region III
11871000.0,5.0,3.0,142.0,198.0,Region III
6893000.0,4.0,3.0,83.0,104.0,Region III
3999000.0,2.0,1.0,46.0,66.0,Region III
